"","X","Y","OBJECTID","DVRPC_ID","SEPTA_ID","TYPE","LINE","STATION","OPERATOR","GLOBALID","COUNTY","STATE"
"90",-75.0698758587014,40.0107133384407,14,15,90710,"Commuter Rail","Trenton Line","Bridesburg","SEPTA","{8F6C1235-9057-416D-AE1B-3B748E7B7AC4}","Philadelphia","Pennsylvania"
"92",-75.1903272730018,39.947837077339,120,121,90406,"Commuter Rail","Glenside Combined","University City","SEPTA","{DF396181-064A-434D-940C-AB5EF30824ED}","Philadelphia","Pennsylvania"
"101",-75.0928488972257,40.0578721071681,144,145,90813,"Commuter Rail","Fox Chase Line","Cheltenham","SEPTA","{CE5259A0-E393-4E4D-BF40-EC06F0C124C1}","Philadelphia","Pennsylvania"
"104",-75.2650075455507,39.9080271449642,18,19,90216,"Commuter Rail","Wilmington/Newark Line","Curtis Park","SEPTA","{1B5F0A9B-488C-455A-A1CF-EEAD01A9AD86}","Delaware","Pennsylvania"
"105",-75.192063864192,40.0114202867759,111,112,90219,"Commuter Rail","Manayunk/Norristown Line","East Falls","SEPTA","{C3AFE841-F433-422F-91D0-6ABE730A679A}","Philadelphia","Pennsylvania"
"106",-75.2713079332722,39.9040961011564,17,18,90215,"Commuter Rail","Wilmington/Newark Line","Sharon Hill","SEPTA","{906A3291-A4AF-418E-ACDB-BDBF5E2EF936}","Delaware","Pennsylvania"
"108",-75.2101994271826,40.0165622630067,112,113,90220,"Commuter Rail","Manayunk/Norristown Line","Wissahickon Transportation Center","SEPTA","{3154FB05-4F00-4AF2-AA95-F10FD18CAF2E}","Philadelphia","Pennsylvania"
"109",-75.1544774219537,39.9942514180973,132,133,90008,"Commuter Rail","SEPTA Main Line","North Broad","SEPTA","{A4EA0713-F82E-49F6-A839-7CBC4730420B}","Philadelphia","Pennsylvania"
"110",-75.3021122904193,39.8912409506167,67,68,90212,"Commuter Rail","Wilmington/Newark Line","Norwood","SEPTA","{27AA23C0-2ED0-4C88-9D9A-C219657397EB}","Delaware","Pennsylvania"
"111",-75.1032156028228,40.0513472549139,117,118,90812,"Commuter Rail","Fox Chase Line","Lawndale","SEPTA","{8032DA88-11D9-465E-81AB-59C75267EB77}","Montgomery","Pennsylvania"
"112",-75.1531625728752,40.1141682999816,87,88,90412,"Commuter Rail","Warminster Line","Ardsley","SEPTA","{B4A10BF9-BBDC-43BF-8C81-A2DAD9B9BB8C}","Montgomery","Pennsylvania"
